Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
cab5d3dc-5a31-4cef-ac80-9bdaadd2eb3a,CODE_SMELL,CRITICAL,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,70,Rename parameter 'output' to 'buffer' to match the base class declaration.,10min,10min,csharpsquid:S927,suspicious
d75a5cf9-e9f6-4a62-a67c-c5f32e000e28,CODE_SMELL,CRITICAL,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,70,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
2ea65643-2e79-4fe6-acd9-adbf555e5c16,CODE_SMELL,MAJOR,SoundFlow:Src/Abstracts/SoundPlayerBase.cs,274,Extract this nested ternary operation into an independent statement.,5min,5min,csharpsquid:S3358,confusing
a37188ef-75e8-4a2b-b82b-8674207b9684,CODE_SMELL,MAJOR,SoundFlow:Src/Backends/MiniAudio/MiniAudioEngine.cs,46,Extract the assignment of '_audioCallback' from this expression.,5min,5min,csharpsquid:S1121,cwe;suspicious
0e6cc050-bbd1-471f-ad6b-87e8c38f3fea,CODE_SMELL,CRITICAL,SoundFlow:Src/Backends/MiniAudio/MiniAudioEngine.cs,105,Rename parameter 'encodingChannels' to 'channels' to match the base class declaration.,10min,10min,csharpsquid:S927,suspicious
bdd8a077-3c12-43a6-bad9-a213d397c92e,CODE_SMELL,CRITICAL,SoundFlow:Src/Backends/MiniAudio/Native.cs,33,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
972bf249-a2b5-4762-8f6c-ffd3be4bf172,CODE_SMELL,INFO,SoundFlow:Src/Components/SurroundPlayer.cs,237,Complete the task associated to this 'TODO' comment.,0min,0min,csharpsquid:S1135,cwe
27180a95-ba39-4d57-a4e2-21df51511f96,CODE_SMELL,CRITICAL,SoundFlow:Src/Components/SurroundPlayer.cs,423,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,6min,6min,csharpsquid:S3776,brain-overload
84bea339-e43a-4573-9ac2-4c754f5381f5,CODE_SMELL,INFO,SoundFlow:Src/Components/SurroundPlayer.cs,527,Member 'CreateCircularLayout' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
ba419153-6eee-4b0a-9476-f5f4b5004f8e,CODE_SMELL,MINOR,SoundFlow:Src/Components/SurroundPlayer.cs,527,Make 'CreateCircularLayout' a static method.,5min,5min,csharpsquid:S2325,pitfall
a2d112cc-30d8-4312-84fa-2b8fdaab0de0,CODE_SMELL,INFO,SoundFlow:Src/Providers/NetworkDataProvider.cs,211,Complete the task associated to this 'TODO' comment.,0min,0min,csharpsquid:S1135,cwe
1f61f9e1-ba27-4318-a798-fe858cfd526e,CODE_SMELL,MINOR,SoundFlow:Samples/SoundFlow.Samples.SimplePlayer/ComponentTests.cs,326,Remove this array creation and simply pass the elements.,2min,2min,csharpsquid:S3878,clumsy
bf75bb9f-7a8e-4b12-ba2a-6fc9d76268a8,CODE_SMELL,MINOR,SoundFlow:Src/Components/VoiceActivityDetector.cs,42,Make this an auto-implemented property and remove its backing field.,5min,5min,csharpsquid:S2292,clumsy
2265c8cc-40c1-48bb-a61c-59f4d47bc932,CODE_SMELL,MINOR,SoundFlow:Src/Components/VoiceActivityDetector.cs,52,Make this an auto-implemented property and remove its backing field.,5min,5min,csharpsquid:S2292,clumsy
86dd060c-4cb3-41e9-bc83-92f805be18d8,CODE_SMELL,MINOR,SoundFlow:Src/Components/VoiceActivityDetector.cs,61,Make this an auto-implemented property and remove its backing field.,5min,5min,csharpsquid:S2292,clumsy
4becaea9-10d8-41b8-a78b-a61cf2830935,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,55,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
b9ed8305-9fba-4cb3-b0cb-c6517b463d72,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,62,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
739e5dd7-4df9-455a-a1b9-4b298f33b826,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,69,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
cf4b7234-2473-46dc-b8f4-2cfed03b05d0,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,75,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
f4b1c893-37ea-4584-a546-3d64f863b6b0,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,81,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
eeb32f36-bcf4-446c-8365-bef67ebcb3e0,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,88,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
77794ee5-c3aa-4fa3-ab57-54d53d159345,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,95,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
c7771108-e15b-4012-87db-079c3b43e5e5,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,101,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
7200760b-0b34-4287-868e-138d83b45f81,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,107,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
9df918dd-dc12-46d5-96e7-8b04930c8599,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,113,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
5d583cdd-f392-4370-8fb8-b21c566c38d6,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,119,Make this field 'private' and encapsulate it in a 'public' property.,10min,10min,csharpsquid:S1104,cwe
5a6ebff7-e06b-4047-8f54-b98f1e81f445,CODE_SMELL,INFO,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,323,Member 'CalculateSpectralFlatness' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
ea399e52-65ac-4d7d-89bc-42397c777aa6,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,323,Make 'CalculateSpectralFlatness' a static method.,5min,5min,csharpsquid:S2325,pitfall
3ceeaeb0-1ee8-401e-9e5f-a509c178c167,CODE_SMELL,INFO,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,350,Member 'CalculateZeroCrossingRate' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
511068ed-c913-49ac-837b-056b1c395528,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,350,Make 'CalculateZeroCrossingRate' a static method.,5min,5min,csharpsquid:S2325,pitfall
573fe9b8-714a-4a02-8ea1-40731da11d3e,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,357,Use the opposite operator ('<=') instead.,2min,2min,csharpsquid:S1940,pitfall
4b1f5ecd-30d8-41b4-bcae-03f26732cdf9,CODE_SMELL,MAJOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,384,Use a constructor overloads that allows a more meaningful exception message to be provided.,2min,2min,csharpsquid:S3928,
4032b022-2fce-459b-a831-37f373023188,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,421,Make 'CalculateFrameEnergy' a static method.,5min,5min,csharpsquid:S2325,pitfall
9d2c1efa-8b7d-4828-b103-d6e8265cf8f2,CODE_SMELL,INFO,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,421,Member 'CalculateFrameEnergy' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
5de87aea-e985-4699-9c20-776ac4168aa2,CODE_SMELL,INFO,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,530,Member 'ValidateConfiguration' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
ed5380cf-49eb-4e63-9b55-a527b8bfcbfd,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,530,Make 'ValidateConfiguration' a static method.,5min,5min,csharpsquid:S2325,pitfall
0ca88a43-7cea-45e9-8637-bbb07d8214c2,CODE_SMELL,MINOR,SoundFlow:Src/Experimental/VoiceActivityDetector.cs,544,Make 'CalculateCoefficient' a static method.,5min,5min,csharpsquid:S2325,pitfall
