"Status","PackageID","CurrentVersion","LatestVersion","Reason","Solution","Timestamp"
"Outdated","Meziantou.Analyzer","2.0.189","2.0.196","New version available","spreadcheetah","20250416_175856"
"Outdated","Polyfill","7.13.0","7.27.0","New version available","spreadcheetah","20250416_175856"
"Outdated","SonarAnalyzer.CSharp","10.7.0.110445","10.8.0.113526","New version available","spreadcheetah","20250416_175856"
"Outdated","Xunit.Combinatorial","1.6.24","2.0.24","New version available","spreadcheetah","20250416_175856"
"Outdated","Meziantou.Analyzer","2.0.189","2.0.196","New version available","spreadcheetah","20250416_175856"
"Outdated","Microsoft.CodeAnalysis.Analyzers","3.3.4","3.11.0","New version available","spreadcheetah","20250416_175856"
"Outdated","Microsoft.CodeAnalysis.CSharp.Workspaces","4.9.2","4.13.0","New version available","spreadcheetah","20250416_175856"
"Outdated","SonarAnalyzer.CSharp","10.7.0.110445","10.8.0.113526","New version available","spreadcheetah","20250416_175856"
"Outdated","System.Formats.Asn1","9.0.3","9.0.4","New version available","spreadcheetah","20250416_175856"
"Outdated","Verify.Xunit","28.16.0","29.2.0","New version available","spreadcheetah","20250416_175856"
"Outdated","Meziantou.Analyzer","2.0.189","2.0.196","New version available","spreadcheetah","20250416_175856"
"Outdated","SonarAnalyzer.CSharp","10.7.0.110445","10.8.0.113526","New version available","spreadcheetah","20250416_175856"
"Outdated","Meziantou.Analyzer","2.0.189","2.0.196","New version available","spreadcheetah","20250416_175856"
"Outdated","SonarAnalyzer.CSharp","10.7.0.110445","10.8.0.113526","New version available","spreadcheetah","20250416_175856"
"Outdated","Meziantou.Analyzer","2.0.189","2.0.196","New version available","spreadcheetah","20250416_175856"
"Outdated","Polyfill","7.13.0","7.27.0","New version available","spreadcheetah","20250416_175856"
"Outdated","SonarAnalyzer.CSharp","10.7.0.110445","10.8.0.113526","New version available","spreadcheetah","20250416_175856"
